semilla,mejor_fitness,accuracy_test,parametros,arquitectura
42,0.9941074887346512,1.0,83,"(4, 3)"
123,0.9924167083662013,0.9777777777777777,258,"(15,)"
456,0.9936302566805648,0.9555555555555556,139,"(8, 2)"
789,0.9924627425482466,0.9777777777777777,276,"(3, 33)"
1011,0.9916020204506981,1.0,377,"(22,)"
1213,0.9912577162348488,0.9555555555555556,394,"(23,)"
1415,0.997588273726671,1.0,283,"(17, 2)"
1617,0.9905879023357647,1.0,496,"(29,)"
1819,0.994209752746241,1.0,71,"(4,)"
2021,0.9944995007790791,0.9777777777777777,37,"(2,)"
