semilla,mejor_fitness,accuracy_test,parametros,arquitectura,variables_seleccionadas
42,0.9554330604917203,0.9333333333333333,137,"(18, 2)",4
123,0.9631815146549687,0.9111111111111111,117,"(9, 6)",3
456,0.9532218739774914,0.9111111111111111,60,"(3, 6)",4
789,0.9578240555611803,0.8666666666666667,85,"(10, 3)",3
1011,0.9588841050761909,0.8888888888888888,227,"(6, 2, 31)",3
1213,0.9523838772158517,0.9333333333333333,119,"(13, 3)",4
1415,0.9592194834469641,0.9333333333333333,71,"(4, 6)",4
1617,0.9625853080217763,0.9111111111111111,167,"(11, 8)",3
1819,0.9574153264747816,0.9111111111111111,190,"(19, 4)",4
2021,0.9549488133659938,0.9333333333333333,139,"(9, 7)",4
